date,rang,vitesse,distance
8/11/2020 18:30,2,2.8,66.8
8/11/2020 22:30,5,5.4,125.9
9/11/2020 05:30,17,9.6,225.1
9/11/2020 09:00,25,11.2,268.0
9/11/2020 12:00,21,11.8,284.0
9/11/2020 15:00,12,12.2,293.3
9/11/2020 18:00,12,10.6,255.3
9/11/2020 22:30,8,9.4,226.4
10/11/2020 05:30,4,8.4,201.9
10/11/2020 09:30,8,9.0,215.5
10/11/2020 12:30,9,8.8,211.7
10/11/2020 15:30,8,9.1,219.5
10/11/2020 18:00,11,8.9,214.7
10/11/2020 22:30,11,9.6,231.4
11/11/2020 05:30,13,12.7,305.4
11/11/2020 09:30,12,12.5,299.7
11/11/2020 12:30,7,12.5,300.2
11/11/2020 15:30,4,11.9,285.2
11/11/2020 18:30,2,11.4,273.4
11/11/2020 22:30,1,11.6,278.8
12/11/2020 05:30,10,11.2,269.3
12/11/2020 09:30,6,12.5,300.8
12/11/2020 12:30,4,12.8,308.2
12/11/2020 15:30,5,13.2,317.2
12/11/2020 18:30,5,13.8,331.9
12/11/2020 22:30,4,13.4,322.8
13/11/2020 05:30,4,14.0,335.1
13/11/2020 09:30,6,13.4,320.6
13/11/2020 12:30,6,13.0,312.2
13/11/2020 15:30,7,13.1,313.6
13/11/2020 18:30,7,14.0,335.2
13/11/2020 22:30,6,15.3,367.5
14/11/2020 05:30,9,16.0,383.1
14/11/2020 09:30,12,15.5,371.0
14/11/2020 12:30,14,15.6,375.2
14/11/2020 15:30,15,14.4,346.6
14/11/2020 17:30,13,12.9,308.6
14/11/2020 21:30,11,10.8,259.4
15/11/2020 04:30,9,9.7,232.8
15/11/2020 08:30,8,11.3,270.1
15/11/2020 11:30,7,12.6,303.5
15/11/2020 14:30,6,13.3,320.3
15/11/2020 17:30,6,14.0,336.0